passenger_id,age_band,travel_party_type,visa_bucket,layover_duration_hrs,arrival_time_block,season_month,luggage_status,fatigue_level,budget_tier,interest_category,risk_comfort,marketing_channel,layover_confidence_score,confidence_band,recommended_tier,app_viewed,eligibility_checked,packages_viewed,booked,selected_package,paid_amount_aed,late_return_risk_score,completed_on_time,satisfaction_rating,referral_intent,app_viewed_clean,eligibility_checked_clean,booked_clean,completed_on_time_clean,recommended_tier_clean,selected_package_clean,layover_duration_hrs_clean,paid_amount_aed_clean,fatigue_missing_flag,budget_missing_flag,fatigue_level_clean,budget_tier_clean,time_buffer_mins_clean,confidence_band_clean,conversion_flag,package_viewed_flag,completed_flag,late_return_flag_clean,revenue_category,funnel_stage_clean,tier_category,high_value_lead_flag,engagement_level,safe_to_leave_flag,recommendation_match_flag
PS00001,25-34,Friends/Group,Visa-Free/On-Arrival,11.5,Afternoon,January,Carry-On Only,1,Budget,Active/City,4,Social Media,86.6,High,City/Culture/Shopping,True,True,3,True,City/Culture/Shopping,264.0,21.5,True,4.0,4.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,11.5,264.0,False,False,1.0,Budget,600.0,High,True,True,True,0.0,Low,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
PS00002,55+,Family with kids,Transit-Visa-Required,6.2,Afternoon,August,Needs Storage,3,Premium,Shopping,3,Airline Partner,78.7,High,Premium Fast-Track/Chauffeur,True,True,1,True,Premium Fast-Track/Chauffeur,1931.0,42.5,True,4.0,4.0,True,True,True,True,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,6.2,1931.0,False,False,3.0,Premium,282.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,False,Low,True,1.0
PS00003,35-44,Solo,Visa-Free/On-Arrival,8.9,Evening,February,Checked-Through,4,Premium,Shopping,4,Organic App Search,83.9,High,Indoor Micro-Experience,Yes,True,1,True,Indoor Micro-Experience,507.0,19.0,1,4.0,4.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,8.9,507.0,False,False,4.0,Premium,444.0,High,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,False,Low,True,1.0
PS00004,35-44,Solo,Visa-Free/On-Arrival,2.0,Night,January,Checked-Through,5,Budget,active/city,3,Airline Partner,51.9,Medium,Airport Lounge/Relaxation,True,True,1,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,2.0,,False,False,5.0,Budget,30.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,False,
PS00005,18-24,Solo,Visa-Free/On-Arrival,6.9,Evening,February,NEEDS STORAGE,3,Premium,Relaxation & Wellness,3,Word of Mouth/Referral,76.2,High,Premium Fast-Track/Chauffeur,True,True,4,True,Premium Fast-Track/Chauffeur,2952.0,30.8,True,5.0,5.0,True,True,True,True,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,6.9,2952.0,False,False,3.0,Premium,324.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,True,Medium,True,1.0
PS00006,18-24,Family with kids,Visa-Free/On-Arrival,5.3,Morning,May,Checked-Through,4,Budget,Culture & Heritage,5,Airline Partner,75.9,High,City/Culture/Shopping,yes ,True,1,True,Airport Lounge/Relaxation,237.0,43.2,True,4.0,4.0,True,True,True,True,City/Culture/Shopping,Airport Lounge/Relaxation,5.3,237.0,False,False,4.0,Budget,228.0,High,True,True,True,0.0,Low,Completed,Outdoor/Higher-Risk,False,Low,True,0.0
PS00007,18-24,Family with kids,Transit-Visa-Required,2.0,Afternoon,September,Needs Storage,5,Mid-Range,Culture & Heritage,3,Social Media,41.5,Medium,Indoor Micro-Experience,True,True,1,False,,,,,,,True,True,False,,Indoor Micro-Experience,,2.0,,False,False,5.0,Mid-Range,30.0,Medium,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,False,
PS00008,45-54,Solo,Visa-Free/On-Arrival,7.0,Night,September,Carry-On Only,2,Mid-Range,Culture & Heritage,5,Social Media,89.8,High,City/Culture/Shopping,True,True,4,True,City/Culture/Shopping,352.0,45.6,False,3.0,3.0,True,True,True,False,City/Culture/Shopping,City/Culture/Shopping,7.0,352.0,False,False,2.0,Mid-Range,330.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
PS00009,35-44,SOLO,Not-Eligible,7.2,Morning,February,Needs Storage,4,Mid-Range,Family/Indoor,2,Airline Partner,30.0,Low,  Stay Airside ,True,True,2,False,,,,,,,True,True,False,,Stay Airside,,7.2,,False,False,4.0,Mid-Range,342.0,Low,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,False,
PS00010,35-44,Solo,Not-Eligible,9.3,Night,February,Checked-Through,3,Mid-Range,Shopping,2,Social Media,30.0,Low,Stay Airside,True,False,3,No,,,,,,,True,False,False,,Stay Airside,,9.3,,False,False,3.0,Mid-Range,468.0,Low,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Medium,False,
PS00011,18-24,Family with kids,Transit-Visa-Required,14.1,Night,March,Checked-Through,3,Budget,family/indoor,3,Social Media,68.7,Medium,Airport Lounge/Relaxation,True,True,0,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,14.1,,False,False,3.0,Budget,756.0,Medium,False,False,False,,No Spend,Eligibility Checked,Airside/Low-Risk,False,None,True,
PS00012,55+,Family with kids,Visa-Free/On-Arrival,12.9,Morning,July,Checked-Through,3,Budget,Shopping,4,Word of Mouth/Referral,82.1,High,City/Culture/Shopping,True,True,5,True,Airport Lounge/Relaxation,147.0,0.0,True,3.0,3.0,True,True,True,True,City/Culture/Shopping,Airport Lounge/Relaxation,12.9,147.0,False,False,3.0,Budget,684.0,High,True,True,True,0.0,Low,Completed,Outdoor/Higher-Risk,False,High,True,0.0
PS00013,45-54,Solo,Visa-Free/On-Arrival,5.6,Night,November,Needs Storage,4,Mid-Range,Relaxation & Wellness,4,Word of Mouth/Referral,73.8,High,Indoor Micro-Experience,True,False,1,False,,,,,,,True,False,False,,Indoor Micro-Experience,,5.6,,False,False,4.0,Mid-Range,246.0,High,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,True,
PS00014,25-34,Solo,Transit-Visa-Required,8.3,Afternoon,March,Checked-Through,4,Budget,Culture & Heritage,2,Social Media,65.8,Medium,Airport Lounge/Relaxation,True,True,3,True,Airport Lounge/Relaxation,178.0,21.3,True,4.0,4.0,True,True,True,True,Airport Lounge/Relaxation,Airport Lounge/Relaxation,8.3,178.0,False,False,4.0,Budget,408.00000000000006,Medium,True,True,True,0.0,Low,Completed,Airside/Low-Risk,False,Medium,True,1.0
PS00015,25-34,Solo,Visa-Free/On-Arrival,10.0,Night,January,Carry-On Only,3,Premium,Family/Indoor,2,Social Media,85.2,High,Premium Fast-Track/Chauffeur,TRUE,True,5,True,Premium Fast-Track/Chauffeur,1420.0,23.8,True,5.0,5.0,True,True,True,True,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,10.0,1420.0,False,False,3.0,Premium,510.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,True,High,True,1.0
PS00016,25-34,Friends/Group,Visa-Free/On-Arrival,5.7,Afternoon,June,Checked-Through,5,Mid-Range,Shopping,3,Social Media,69.6,High,Indoor Micro-Experience,True,True,1,True,CITY/CULTURE/SHOPPING,503.0,44.5,True,3.0,3.0,True,True,True,True,Indoor Micro-Experience,City/Culture/Shopping,5.7,503.0,False,False,5.0,Mid-Range,252.0,High,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,False,Low,True,0.0
PS00017,25-34,Solo,Transit-Visa-Required,2.5,Afternoon,March,Checked-Through,4,Budget,Shopping,2,Travel Agent,42.2,Medium,Airport Lounge/Relaxation,True,True,1,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,2.5,,False,False,4.0,Budget,60.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,False,
PS00018,35-44,Family with kids,TRANSIT-VISA-REQUIRED,6.6,Evening,January,Checked-Through,4,Mid-Range,Relaxation & Wellness,3,Airport Signage,70.5,High,City/Culture/Shopping,True,False,3,False,,,,,,,True,False,False,,City/Culture/Shopping,,6.6,,False,False,4.0,Mid-Range,306.0,High,False,True,False,,No Spend,Package Viewed,Outdoor/Higher-Risk,False,Medium,False,
PS00019,25-34,Couple,Transit-Visa-Required,14.5,Evening,April,Checked-Through,3,Budget,Relaxation & Wellness,3,Social Media,65.7,Medium,Airport Lounge/Relaxation,True,False,2,False,,,,,,,True,False,False,,Airport Lounge/Relaxation,,14.5,,False,False,3.0,Budget,780.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,True,
PS00020,25-34,Solo,Visa-Free/On-Arrival,2.4,Morning,January,Carry-On Only,1,Budget,Relaxation & Wellness,3,Social Media,70.1,High,City/Culture/Shopping,True,TRUE,3,True,City/Culture/Shopping,277.0,64.3,False,3.0,4.0,True,True,True,False,City/Culture/Shopping,City/Culture/Shopping,2.4,277.0,False,False,1.0,Budget,54.0,High,True,True,True,1.0,Low,Completed,Outdoor/Higher-Risk,False,Medium,False,1.0
PS00021,35-44,Solo,Transit-Visa-Required,3.8,Evening,January,Checked-Through,3,,Relaxation & Wellness,2,Organic App Search,52.4,Medium,Indoor Micro-Experience,True,False,1,False,,,,,,,True,False,False,,Indoor Micro-Experience,,3.8,,False,True,3.0,Unknown,138.0,Medium,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,False,
PS00022,18-24,Solo,Visa-Free/On-Arrival,4.4,Morning,December,Needs Storage,5,Premium,shopping,2,Social Media,63.8,Medium,INDOOR MICRO-EXPERIENCE,True,True,1,True,Premium Fast-Track/Chauffeur,1865.0,51.8,True,4.0,3.0,True,True,True,True,Indoor Micro-Experience,Premium Fast-Track/Chauffeur,4.4,1865.0,False,False,5.0,Premium,174.0,Medium,True,True,True,0.0,High,Completed,Indoor/Moderate-Risk,False,Low,False,0.0
